0,1
敬夏玺,前海联合泓瑞定开债券
嘉实多元债券B,王茜
刘丽娟,金鹰元和灵活配置混合C
定开债券,招商招信定开债A
付斌,招商优质成长混合(LOF)
QDII,南方香港成长(QDII)
孔令超,东方红汇利债券C
融通通慧混合C,黄浩荣
招商丰达混合A,余芽芳
韩阅川,易方达瑞兴灵活配置混合E
张旭,中加心悦混合A
泰康沪港深价值优选混合,黄成扬
曾刚,汇添富长添利定开债A
申万菱信环保产业分级B,张少华
黄诺楠,东方利群混合C
货币型,王申
吴闻,国寿安保稳健回报混合A
白洁,中银理财7天债券B
许文星,中欧养老产业混合
华夏消费升级灵活配置混合A,混合型
孙芳,上投摩根行业轮动混合A
信诚主题轮动灵活配置混合,张光成
戴杰,汇安丰恒灵活配置混合A
张恒,平安季添盈定开债E
景顺长城中小板创业板精选股票,杨鹏
股票指数,梅律吾
牟琼屿,永赢瑞益债券
国联安添利增长债A,债券型
华商双翼平衡混合,张永志
贾仁栋,混合型
刘建岩,鹏华盈余宝货币B
WANG AO(汪澳),平安鑫利混合A
易方达货币B,石大怿
南方安福混合A,吴剑毅
南方中证互联网指数分级,股票指数
赵菲,ETF-场内
混合型,新华鑫锐混合
南方1-3年国开债C,董浩
袁英杰,申万菱信臻选6个月定期开放混合
刘文良,南方广利回报债券A/B
金鹰持久增利债券(LOF)C,戴骏
债券型,中欧聚信债券
崔蕾,南方小康ETF联接C
汇添富丰润中短债,徐光
李羿,富国景利纯债债券
混合型,农银汇理量化智慧动力混合
贾成东,股票型
货币型,光大耀钱包货币B
王颀亮,富国两年期理财债券C
股票指数,前海开源MSCI中国A股指数A
交银裕如纯债债券C,债券型
创金合信消费主题股票A,蒋小玲
荣膺,华夏创成长ETF联接C
博时上证自然资源ETF,ETF-场内
易方达裕丰回报债券,张清华
刘文良,南方永利1年定开债C
富安达长盈灵活配置混合,张凯瑜
吴剑毅,南方利达C
刘方正,鹏华弘华混合C
中加聚鑫纯债一年定开A,廉晓婵
混合型,景顺长城中小盘混合
金元顺安优质精选混合A,李杰
银华中证5年期地方政府债指数A,瞿灿
汇添富睿丰混合(LOF)A,混合型
薛子徵,东方区域发展混合
债券型,博时双债增强债券A
博时中债1-3年国开行C,张鹿
混合型,华夏行业龙头混合
债券型,泰达宏利恒利债券A
刘杰,广发养老指数A
银河君盛混合A,韩晶
吴闻,国寿安保安吉纯债半年定开债
交银裕盈纯债债券A,债券型
朱柏蓉,中融鑫思路混合C
固定收益,长盛同瑞A
债券型,永赢盈益债券A
东方睿鑫热点挖掘混合C,薛子徵
万家新机遇价值驱动A,高源
混合型,富国新优选灵活定开混合C
天弘丰利分级债券A,固定收益
赵志华,中银腾利混合C
中银新财富混合C,苗婷
民生加银聚益纯债,债券型
信诚永丰定开混合A,混合型
嘉实中短债债券C,万晓西
国联安中证医药100A,股票指数
谢志华,诺安聚鑫宝货币D
赵建,固定收益
李轶,大摩多元收益债券A
郑磊,中海医药健康产业精选混合C
余文龙,圆信永丰强化收益C
周琛,平安日增利货币
股票指数,工银中证京津冀协同发展指数C
中银证券聚瑞混合A,混合型
QDII,博时亚洲票息收益债券现钞
薛子徵,东方新价值混合C
人保利璟纯债A,债券型
中银证券安源债券A,债券型
谈云飞,混合型
混合型,银河君耀混合C
徐嶒,东吴安盈量化灵活配置混合
博时外服货币,陈凯杨
湘财长顺混合发起式C,任路
尹粒宇,债券型
中信建投睿利A,周户
华泰紫金智惠定开债券A,定开债券
谢军,广发鑫源混合A
长信利信混合A,混合型
嘉实增长混合,刘美玲
前海开源沪港深裕鑫A,混合型
农银策略精选混合,混合型
徐莹,混合型
孙远慧,万家增强收益债券
混合型,黎莹
大成债券C,王立
混合型,蒋利娟
广发轮动配置混合,吴兴武
定开债券,国联安增富一年定开债
中融融裕双利债券C,债券型
肖威兵,富国新优选灵活定开混合A
招商中证煤炭等权指数分级B,分级杠杆
华富天益货币A,姚姣姣
混合型,张娅
金鹰多元策略混合,混合型
吴旅忠,中银理财14天债券B
吴江宏,保本型
创金合信鑫收益混合C,张荣
曹文俊,富国优质发展混合C
白海峰,招商信用定开债美元
华商产业升级混合,混合型
西部利得稳定增利债券A,张维文
前海开源丰鑫混合A,肖立强
QDII,南方全球债券(QDII)美元现汇C
长盛同享灵活配置A,赵宏宇
博时安怡6个月,陈黎
上银聚增富定期开放债券,定开债券
嘉实文体娱乐股票C,王凯
黄斌斌,南方祥元债券C
石玉,中金现金管家B
混合型,平安鑫享混合C
饶刚,东方红策略精选混合A
固定收益,王乐乐
何康,南方臻元债券
华宝中证500增强C,股票指数
德邦优化混合,黎莹
广发聚丰混合,邱璟旻
银华优势企业混合,王鑫钢
诺安先锋混合,混合型
徐栋,国投瑞银增利宝货币B
李响,混合型
前海开源一带一路混合A,吴国清
田原,债券指数
陆威,长江优享货币A
周宇,农银增强收益债券A
饶晓鹏,华安行业轮动混合
中银中债1-3年期农发行债,郑涛
鹏华弘信混合C,李韵怡
债券型,中融盈泽债券C
混合型,鹏华优质治理混合(LOF)
理财型,杨衡
董浩,南方中债10年期国债A
浙商汇金聚禄一年定期A,应洁茜
周雪军,天治财富增长混合
银河君尚混合C,卢轶乔
盛泽,东方启明量化先锋基金
混合型,九泰久益混合A
博道沪深300指数增强C,杨梦
国金鑫新灵活配置(LOF),李安心
添富红利增长混合C,黄耀锋
股票指数,柳发超
嘉实创新成长混合,董理
蒋雯文,中欧瑾泰债券A
融通内需驱动混合,邹曦
景顺长城领先回报混合A,徐喻军
混合型,华泰柏瑞现代服务混合
